Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",COMPUTER ENGINEERING,GEN,GUJCET_Rank,Self-Finance,10895,37761,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",COMPUTER ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,38267,38267,BARDOLI
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER ENGINEERING,ST,GUJCET_Rank,Self-Finance,38291,38291,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",COMPUTER ENGINEERING,EWS,GUJCET_Rank,Self-Finance,38886,38886,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",INFORMATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,12811,38962,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING (CLOUD
COMPUTING)",GEN,GUJCET_Rank,Self-Finance,17799,38831,BARDOLI
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING,GEN,GUJCET_Rank,Self-Finance,7968,38804,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",COMPUTER SCIENCE & ENGINEERING - TFWS,TFWS,GUJCET_Rank,Self-Finance,2866,11396,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING (CYBER
SECURITY)",GEN,GUJCET_Rank,Self-Finance,22852,38720,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING (CYBER
SECURITY) - TFWS",TFWS,GUJCET_Rank,Self-Finance,12350,15039,BARDOLI
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),GEN,GUJCET_Rank,Self-Finance,17610,34603,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE LEARNING)",SEBC,GUJCET_Rank,Self-Finance,34665,38867,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE LEARNING) - TFWS",TFWS,GUJCET_Rank,Self-Finance,5610,5610,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER ENGINEERING (SOFTWARE
ENGINEERING)",GEN,GUJCET_Rank,Self-Finance,10871,38849,BARDOLI
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING - M.TECH INTEGRATED,GEN,GUJCET_Rank,Self-Finance,30583,36238,BARDOLI
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING - M.TECH
INTEGRATED - TFWS",TFWS,GUJCET_Rank,Self-Finance,20732,28231,BARDOLI
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",CIVIL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,21186,36919,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,GEN,GUJCET_Rank,Self-Finance,2986,4683,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,EWS,GUJCET_Rank,Self-Finance,4694,4781,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,5904,7326,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SC,GUJCET_Rank,Self-Finance,11209,17178,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,ESM,GUJCET_Rank,Self-Finance,12075,12075,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,GEN-PH,GUJCET_Rank,Self-Finance,37652,37652,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING - TFWS,TFWS,GUJCET_Rank,Self-Finance,2284,2625,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,5613,33258,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,34151,36697,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,EWS,GUJCET_Rank,Self-Finance,35078,35078,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,3627,6516,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,6573,6985,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,7519,10691,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SC,GUJCET_Rank,Self-Finance,16098,23821,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ST,GUJCET_Rank,Self-Finance,35925,35925,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ESM,GUJCET_Rank,Self-Finance,37207,37207,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY - TFWS,TFWS,GUJCET_Rank,Self-Finance,3334,4012,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,13189,38851,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",AUTOMOBILE ENGINEERING,GEN,GUJCET_Rank,Self-Finance,15945,35898,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,10702,28680,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,29081,38390,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,34260,37901,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,GEN,GUJCET_Rank,Self-Finance,8697,13545,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,EWS,GUJCET_Rank,Self-Finance,13572,15664,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,16551,25777,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,1607,10878,KARAMSAD
