Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",GEN,GUJCET_Rank,Self-Finance,4697.0,7942.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",EWS,GUJCET_Rank,Self-Finance,8032.0,8135.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",SEBC,GUJCET_Rank,Self-Finance,10483.0,14230.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",SC,GUJCET_Rank,Self-Finance,17175.0,20091.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",ESM,GUJCET_Rank,Self-Finance,28234.0,28234.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE - TFWS",TFWs,GUJCET_Rank,Self-Finance,4175.0,4660.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",AUTOMOBILE ENGINEERING,GEN,GUJCET_Rank,Self-Finance,23170.0,35898.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",CIVIL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,19653.0,38360.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,GEN,GUJCET_Rank,Self-Finance,3534.0,4413.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,EWS,GUJCET_Rank,Self-Finance,4440.0,4683.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,5718.0,6703.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SC,GUJCET_Rank,Self-Finance,11209.0,11816.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,ESM,GUJCET_Rank,Self-Finance,12075.0,12075.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING - TFWS,TFWs,GUJCET_Rank,Self-Finance,2166.0,2668.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,GEN,GUJCET_Rank,Self-Finance,6125.0,8534.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,EWS,GUJCET_Rank,Self-Finance,8605.0,8800.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SEBC,GUJCET_Rank,Self-Finance,9350.0,15590.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SC,GUJCET_Rank,Self-Finance,22081.0,24875.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN - TFW,TFWs,GUJCET_Rank,Self-Finance,2625.0,4664.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,13275.0,29081.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,30816.0,38390.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,34260.0,34924.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,15199.0,27033.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,EWS,GUJCET_Rank,Self-Finance,29248.0,29248.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,30590.0,37290.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,SC,GUJCET_Rank,Self-Finance,31592.0,31592.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,ST,GUJCET_Rank,Self-Finance,38020.0,38020.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,GEN,GUJCET_Rank,Self-Finance,8697.0,11934.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGINEERING",EWS,GUJCET_Rank,Self-Finance,12755.0,13451.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGINEERING",SEBC,GUJCET_Rank,Self-Finance,13353.0,26097.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGINEERING",SC,GUJCET_Rank,Self-Finance,27824.0,27824.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,70.0,9497.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,9707.0,16066.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,10878.0,21651.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SC,GUJCET_Rank,Self-Finance,20922.0,27360.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,ST,GUJCET_Rank,Self-Finance,36246.0,37547.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY - TFWS,TFWs,GUJCET_Rank,Self-Finance,3419.0,7907.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,3983.0,6011.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,6074.0,6429.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,6081.0,10263.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SC,GUJCET_Rank,Self-Finance,13897.0,18753.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ESM,GUJCET_Rank,Self-Finance,28967.0,28967.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ST,GUJCET_Rank,Self-Finance,35925.0,35925.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY - TFWS,TFWs,GUJCET_Rank,Self-Finance,2701.0,3430.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,13857.0,28939.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,EWS,GUJCET_Rank,Self-Finance,28974.0,37828.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,33600.0,38659.0,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,SC,GUJCET_Rank,Self-Finance,36279.0,36279.0,KARAMSAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",GEN,GUJCET_Rank,Self-Finance,303.0,3830.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",EWS,GUJCET_Rank,Self-Finance,3933.0,4378.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",SEBC,GUJCET_Rank,Self-Finance,4550.0,8076.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",SC,GUJCET_Rank,Self-Finance,4738.0,11685.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",ESM,GUJCET_Rank,Self-Finance,17429.0,18120.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",ST,GUJCET_Rank,Self-Finance,19350.0,31333.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING) - TFWS",TFWs,GUJCET_Rank,Self-Finance,812.0,1816.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,1272.0,5037.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,5059.0,5342.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION
TECHNOLOGY",SEBC,GUJCET_Rank,Self-Finance,6952.0,10529.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION
TECHNOLOGY",SC,GUJCET_Rank,Self-Finance,8015.0,16025.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION
TECHNOLOGY",ESM,GUJCET_Rank,Self-Finance,12061.0,12061.0,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY - TFWS,TFWs,GUJCET_Rank,Self-Finance,451.0,2568.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIOTECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,748.0,33413.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIOTECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,33414.0,35378.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIOTECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,33565.0,37373.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIOTECHNOLOGY,SC,GUJCET_Rank,Self-Finance,36334.0,36334.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIOTECHNOLOGY,GEN-PH,GUJCET_Rank,Self-Finance,38371.0,38371.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",CHEMICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,10052.0,38118.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",CIVIL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,14502.0,37173.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",COMPUTER ENGINEERING,GEN,GUJCET_Rank,Self-Finance,5758.0,38894.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,GEN,GUJCET_Rank,Self-Finance,5052.0,38921.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",ELECTRICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,26043.0,35063.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",INFORMATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,8644.0,38447.0,AHMEDABAD
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",MECHANICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,16814.0,34447.0,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING - TFWS,TFWs,GUJCET_Rank,Self-Finance,6071.0,13129.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING",GEN,GUJCET_Rank,Self-Finance,4669.0,8555.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING",EWS,GUJCET_Rank,Self-Finance,8679.0,9190.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,SEBC,GUJCET_Rank,Self-Finance,11813.0,19073.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING",SC,GUJCET_Rank,Self-Finance,24676.0,24676.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING - TFW",TFWs,GUJCET_Rank,Self-Finance,1805.0,2651.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",AUTOMOBILE ENGINEERING,GEN,GUJCET_Rank,Self-Finance,20495.0,37849.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,14627.0,27852.0,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,EWS,GUJCET_Rank,Self-Finance,29586.0,30267.0,AHMEDABAD
