Course_name,Inst_Name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",EWS,GUJCET Based,Self-Finance,20969.0,22975.0,KARAMSAD
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,13168.0,19924.0,KARAMSAD
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SEBC,GUJCET Based,Self-Finance,27013.0,38163.0,KARAMSAD
CIVIL ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,28170.0,30712.0,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",EWS,GUJCET Based,Self-Finance,9226.0,10278.0,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,5077.0,9064.0,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SC,GUJCET Based,Self-Finance,23275.0,23645.0,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SEBC,GUJCET Based,Self-Finance,9920.0,19338.0,KARAMSAD
COMPUTER ENGINEERING - TFWS,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",TFWs,GUJCET Based,Self-Finance,3381.0,3381.0,KARAMSAD
"COMPUTER SCIENCE &
DESIGN","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",EWS,GUJCET Based,Self-Finance,27984.0,31356.0,KARAMSAD
"COMPUTER SCIENCE &
DESIGN","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,10560.0,26970.0,KARAMSAD
"COMPUTER SCIENCE &
DESIGN","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SC,GUJCET Based,Self-Finance,34381.0,34381.0,KARAMSAD
"COMPUTER SCIENCE &
DESIGN - TFW","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",TFWs,GUJCET Based,Self-Finance,7625.0,7625.0,KARAMSAD
ELECTRICAL ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,25801.0,34272.0,KARAMSAD
"ELECTRONICS & COMMUNICATION
ENGINEERING","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,16138.0,35117.0,KARAMSAD
"FOOD PROCESSING
TECHNOLOGY","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,12159.0,50523.0,KARAMSAD
"INFORMATION
TECHNOLOGY","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",EWS,GUJCET Based,Self-Finance,15948.0,17417.0,KARAMSAD
"INFORMATION
TECHNOLOGY","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,10671.0,15751.0,KARAMSAD
"INFORMATION
TECHNOLOGY","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SC,GUJCET Based,Self-Finance,30715.0,30715.0,KARAMSAD
"INFORMATION
TECHNOLOGY","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SEBC,GUJCET Based,Self-Finance,20295.0,35209.0,KARAMSAD
INFORMATION TECHNOLOGY - TFWS,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",TFWs,GUJCET Based,Self-Finance,4869.0,7257.0,KARAMSAD
"MECHANICAL
ENGINEERING","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,17167.0,34902.0,KARAMSAD
"INFORMATION &
COMMUNICATION TECHNOLOGY","ADANI UNIVERSITY - FACULTY OF ENGINEERING
SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",EWS,GUJCET Based,Self-Finance,9010.0,9777.0,AHMEDABAD
