Course_name,Inst_Name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",EWS,GUJCET Based,Self-Finance,20969,22975,KARAMSAD
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,13168,19924,KARAMSAD
ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SEBC,GUJCET Based,Self-Finance,27013,38163,KARAMSAD
CIVIL ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,28170,30712,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",EWS,GUJCET Based,Self-Finance,9226,10278,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,5077,9064,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SC,GUJCET Based,Self-Finance,23275,23645,KARAMSAD
COMPUTER ENGINEERING,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SEBC,GUJCET Based,Self-Finance,9920,19338,KARAMSAD
COMPUTER ENGINEERING - TFWS,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",TFWs,GUJCET Based,Self-Finance,3381,3381,KARAMSAD
"COMPUTER SCIENCE &
DESIGN","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",EWS,GUJCET Based,Self-Finance,27984,31356,KARAMSAD
"COMPUTER SCIENCE &
DESIGN","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",GEN,GUJCET Based,Self-Finance,10560,26970,KARAMSAD
"COMPUTER SCIENCE &
DESIGN","A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",SC,GUJCET Based,Self-Finance,34381,34381,KARAMSAD
